typnam,stacknam,technonam
CAST_DotNet_InstantiatedGenericStructureCSharp,.NET,C#
CAST_DotNet_GenericStructureCSharp,.NET,C#
CAST_DotNet_GenericInterfaceCSharp,.NET,C#
CAST_DotNet_EnumerationCSharp,.NET,C#
CAST_DotNet_GenericDelegateCSharp,.NET,C#
CAST_DotNet_EnumerationItemCSharp,.NET,C#
CAST_DotNet_DelegateCSharp,.NET,C#
CAST_DotNet_Executable,.NET,.NET
CAST_DotNet_InstantiatedGenericInterfaceVB,.NET,VB.NET
CAST_DotNet_GenericStructureVB,.NET,VB.NET
CAST_DotNet_StructureVB,.NET,VB.NET
CAST_DotNet_GenericInterfaceVB,.NET,VB.NET
CAST_DotNet_InterfaceVB,.NET,VB.NET
CAST_DotNet_TypeParameterVB,.NET,VB.NET
CAST_DotNet_CSharpFile,.NET,C#
CAST_DotNet_ProjectVB,.NET,VB.NET
CAST_DotNet_VBNetFile,.NET,VB.NET
CAST_DotNet_InstantiatedGenericDelegateCSharp,.NET,C#
CAST_DotNet_ClassCSharpException,.NET,C#
CAST_DotNet_ClassCSharpCustomAttribute,.NET,C#
CAST_DotNet_ClassCSharpDataSet,.NET,C#
CAST_DotNet_ClassCSharpForm,.NET,C#
CAST_DotNet_ClassCSharpUserControl,.NET,C#
CAST_DotNet_ClassCSharpComponent,.NET,C#
CAST_DotNet_ClassCSharpServiceBase,.NET,C#
CAST_DotNet_ClassCSharp,.NET,C#
CAST_DotNet_ClassCSharpServicedComponent,.NET,C#
CAST_DotNet_ClassCSharpInstaller,.NET,C#
CAST_DotNet_ClassCSharpWebService,.NET,C#
CAST_DotNet_ClassCSharpWebServiceProxy,.NET,C#
CAST_DotNet_ClassCSharpCustomControl,.NET,C#
CAST_DotNet_PropertyVB,.NET,VB.NET
CAST_DotNet_ClassCSharpCrystalReportClass,.NET,C#
CAST_DotNet_PropertySetterVB,.NET,VB.NET
CAST_DotNet_GenericClassCSharp,.NET,C#
CAST_DotNet_PropertyGetterVB,.NET,VB.NET
CAST_DotNet_InstantiatedGenericClassCSharp,.NET,C#
CAST_AspDotNet_GetOperation,.NET,ASP.NET
CAST_AspDotNet_AnyOperation,.NET,ASP.NET
CAST_AspDotNet_DeleteOperation,.NET,ASP.NET
CAST_AspDotNet_PutOperation,.NET,ASP.NET
CAST_AspDotNet_PostOperation,.NET,ASP.NET
CAST_DotNet_FieldCSharpServerControl,.NET,C#
CAST_DotNet_FieldCSharpCustomControl,.NET,C#
CAST_DotNet_EventAddonCSharp,.NET,C#
CAST_DotNet_InstantiatedGenericMethodCSharp,.NET,C#
CAST_DotNet_FieldCSharp,.NET,C#
CAST_DotNet_GenericMethodCSharp,.NET,C#
CAST_DotNet_EventCSharp,.NET,C#
CAST_DotNet_EventRemoveonCSharp,.NET,C#
CAST_DotNet_MethodCSharp,.NET,C#
CAST_DotNet_ConstantCSharp,.NET,C#
CAST_DotNet_ConversionOperatorCSharp,.NET,C#
CAST_DotNet_UnaryOperatorCSharp,.NET,C#
CAST_DotNet_IndexerCSharp,.NET,C#
CAST_DotNet_BinaryOperatorCSharp,.NET,C#
CAST_DotNet_PropertyCSharp,.NET,C#
CAST_DotNet_IndexerSetterCSharp,.NET,C#
CAST_DotNet_IndexerGetterCSharp,.NET,C#
CAST_DotNet_DestructorCSharp,.NET,C#
CAST_DotNet_PropertySetterCSharp,.NET,C#
CAST_DotNet_PropertyGetterCSharp,.NET,C#
CAST_DotNet_ConstructorCSharp,.NET,C#
SL_JS_Source_Code,.NET,Silverlight
SL_XAML_Custom_Control,.NET,WPF
SL_JS_Function,.NET,Silverlight
SL_XAML_Control,.NET,WPF
CAST_DotNet_Unknown_Redis_Connection,.NET,.NET
CAST_DotNet_Unknown_Redis_Collection,.NET,.NET
CAST_DotNet_Redis_Collection,.NET,.NET
CAST_DotNet_Redis_Connection,.NET,.NET
CAST_DotNet_Elasticsearch_Cluster,.NET,.NET
CAST_DotNet_Unknown_Elasticsearch_Index,.NET,.NET
CAST_DotNet_Elasticsearch_Index,.NET,.NET
CAST_DotNet_Unknown_Couchbase_Bucket,.NET,.NET
CAST_DotNet_Unknown_CosmosDB_Database,.NET,.NET
CAST_DotNet_Memcached_Data,.NET,.NET
CAST_DotNet_Memcached_Connection,.NET,.NET
CAST_DotNet_CosmosDB_Collection,.NET,.NET
CAST_DotNet_Couchbase_Bucket,.NET,.NET
CAST_DotNet_Unknown_Couchbase_Cluster,.NET,.NET
CAST_DotNet_Couchbase_Cluster,.NET,.NET
CAST_DotNet_Unknown_CosmosDB_Collection,.NET,.NET
CAST_DotNet_Unknown_DynamoDB_Table,.NET,.NET
CAST_DotNet_CosmosDB_Database,.NET,.NET
CAST_DotNet_Unknown_DynamoDB_Client,.NET,.NET
CAST_DotNet_DynamoDB_Table,.NET,.NET
CAST_DotNet_Unknown_MongoDB_Database,.NET,.NET
CAST_DotNet_MongoDB_Database,.NET,.NET
CAST_DotNet_MongoDB_Connection,.NET,.NET
CAST_DotNet_Unknown_MongoDB_Connection,.NET,.NET
CAST_DotNet_MongoDB_Collection,.NET,.NET
CAST_DotNet_Unknown_Memcached_Data,.NET,.NET
CAST_DotNet_Unknown_Memcached_Connection,.NET,.NET
CAST_DotNet_Unknown_MongoDB_Collection,.NET,.NET
CAST_DotNet_DynamoDB_Client,.NET,.NET
WCF_ServiceEndpoint,.NET,WCF
WCFService,.NET,WCF
WCF_Configuration,.NET,WCF
WCF_ClientEndpoint,.NET,WCF
XAML_Control,.NET,.NET
XAML_Custom_Control,.NET,.NET
CAST_DotNet_ApplicationJSClientSide,.NET,.NET
CAST_DotNet_IndexerSetterVB,.NET,VB.NET
CAST_DotNet_IndexerGetterVB,.NET,VB.NET
CAST_DotNet_IndexerVB,.NET,VB.NET
CAST_DotNet_ConversionOperatorVB,.NET,VB.NET
CAST_DotNet_BinaryOperatorVB,.NET,VB.NET
