id,typnam,familyicon,genericicon
139143,CAST_DotNet_FieldExternalServerControl,UIView,UIViewExternal
139145,CAST_COBOL_UtilityProgram,Program,SubProgram
139147,CAST_JCL_UtilityProcedure,Procedure,Procedure
139223,CAST_Oracle_ViewColumn,TableColumn,DatabaseViewColumn
139224,CAST_MSTSQL_ViewColumn,TableColumn,DatabaseViewColumn
139263,CAST_DotNet_XamlFile,File,File_HTML
139271,CAST_IMS_ProgramSpecificationBlockPrototype,Process,ProcessPurple
139274,CAST_AST_ANSISQL_AnonymousDatatype,DataBlock,DataObject
139316,CAST_COBOL_ExternalFilePrototype,File,File_Grey
139981,CAST_COBOL_SavedDeclaratives,DataBlock,DataObject
139985,CAST_COBOL_SavedDeclarativesSection,Section,Section
139988,CAST_COBOL_SavedDeclarativesParagraph,DataBlock,DataObject
140118,CAST_Oracle_PrivateProcedure,Procedure,ProcedurePrivate
140119,CAST_Oracle_PrivateFunction,Function,FunctionBluePrivate
140176,CAST_DotNet_InstantiatedGenericMethodCSharp,Function,FunctionGreen
140177,CAST_DotNet_InstantiatedGenericMethodExternal,Function,FunctionExternal
140282,CAST_ABAP_ConstantAbapMember,Synonym,Synonym
140285,CAST_Oracle_Cursor,Cursor,CursorBlue
140382,CAST_ABAP_SAPTableColumn,TableColumn,TableColumn
140383,CAST_ABAP_SAPTableIndex,Index,Index
140384,CAST_ABAP_SAPTablePrimaryKey,ConstraintPrimary,ConstraintPrimary
140385,CAST_ABAP_SAPTableForeignKey,ForeignKey,ForeignKey
140392,CAST_Java_LocalVariable,Variable,Variable
140519,CAST_Oracle_ExternalSchema,Schema,UnknownSchema
140531,CAST_IMS_DatabasePrototype,Database,Database
140539,CAST_ANSISQL_ExternalObject,Package,DataModuleExternal
140561,CAST_IMS_ProgramControlBlockPrototype,Process,ProcessBlue
140583,CAST_Oracle_PublicSynonym,Synonym,Synonym
140584,CAST_Oracle_PrivateSynonym,Synonym,Synonym
140667,CAST_CICS_TDQueuePrototype,Queue,Queue
140669,CAST_CICS_MapSetPrototype,List,ListRedCorner
140671,CAST_CICS_MapPrototype,List,List
140673,CAST_IMS_FilePrototype,File,File_Grey
140697,CAST_Oracle_ObjectTable,Package,Module
140757,CAST_JEE_Annotation_file,File,File_Grey
140776,CAST_Mainframe_NotHandledType,,
140914,CAST_DotNet_FieldVB,Variable,Variable
140915,CAST_DotNet_ConstantVB,Variable,Variable
140916,CAST_DotNet_MethodVB,Function,FunctionGreen
140917,CAST_DotNet_UnaryOperatorVB,Function,FunctionGreen
140918,CAST_DotNet_BinaryOperatorVB,Function,FunctionGreen
140919,CAST_DotNet_ConversionOperatorVB,Function,FunctionGreen
140949,CAST_MSTSQL_Database,Database,Database
140950,CAST_MSTSQL_Schema,Schema,Schema
140951,CAST_MSTSQL_ExternalSchema,Database,DatabaseExternal
140952,CAST_MSTSQL_Instance,Database,Instance
140967,CAST_ASETSQL_DML_Trigger,Trigger,Trigger
140971,CAST_ASETSQL_Index,Index,Index
140972,CAST_ASETSQL_JFunction,Function,FunctionBlue
140973,CAST_ASETSQL_Procedure,Procedure,Procedure
140975,CAST_ASETSQL_ViewColumn,TableColumn,DatabaseViewColumn
140976,CAST_ASETSQL_View,DatabaseView,DatabaseView
140977,CAST_ASETSQL_TableColumn,TableColumn,TableColumn
140978,CAST_ASETSQL_RelationalTable,Table,Table
140979,CAST_ASETSQL_ExternalSchema,Schema,UnknownSchema
140980,CAST_ASETSQL_Schema,Schema,Schema
140981,CAST_ASETSQL_Database,Database,Database
140982,CAST_ASETSQL_Instance,Database,Instance
141021,CAST_CICS_DatasetPrototype,DataSet,DataSet
141022,CAST_JCL_CatalogedJobPrototype,Process,ProcessRed
141094,CAST_DotNet_DynamicType,Variable,VariablePropertyGreen
141139,CAST_JEE_StrutsAction,Service,ServiceOrange
141140,CAST_JEE_StrutsInterceptor,Package,ProcessRed
141141,CAST_JEE_StrutsResult,DataSet,DataSet
141142,CAST_JEE_StrutsPackage,Package,PackageOrange
141143,CAST_JEE_StrutsFilter,Function,FunctionAction
141167,CAST_JEE_StrutsInterceptorStack,Package,ProcessRed
141190,CAST_JEE_StrutsValidator,Function,FunctionValidator
141203,CAST_JEE_VALIDATION_FORM,Function,FunctionValidator
141204,CAST_JEE_VALIDATION_FORM_FIELD,Function,FunctionValidator
141223,CAST_Forms_AttachedLibrary,Package,PackageRed
141226,CAST_Forms_Alert,UIView,Alert
141232,CAST_Forms_ObjectGroup,DataBlock,DataObject
141234,CAST_Forms_Canvas,UIView,Canvas
141235,CAST_Forms_Graphics,UIView,TemplateChart
141236,CAST_Forms_Editor,UIView,TemplateText
141242,CAST_Forms_Window,UIView,UIView
141245,CAST_JEE_Struts2_ConfigurationFile,File,File_Grey
141287,CAST_C_CLR_Property,Variable,VariablePropertyBlue
141288,CAST_C_CLR_PropertySetter,PropertySetter,PropertySetter
141289,CAST_C_CLR_PropertyGetter,PropertyGetter,PropertyGetter
141290,CAST_C_CLR_Event,EventHandler,EventHandler
141291,CAST_C_CLR_EventAddon,EventHandler,EventHandler
141292,CAST_C_CLR_EventRemoveon,EventHandler,EventHandler
141296,CAST_C_CLR_EventRaise,EventHandler,EventHandler
141367,CAST_Forms_Alert_Tab,UIView,AlertRedCorner
141368,CAST_Forms_Graphics_Tab,UIView,TemplateChart
141369,CAST_Forms_Canvas_Tab,UIView,CanvasRedCorner
141370,CAST_Forms_ObjectGroup_Tab,DataBlock,DataObjectRedCorner
141371,CAST_Forms_ModuleParameter_Tab,DataBlock,DataObjectRedCorner
141425,CAST_Forms_PrivateFunction,Function,FunctionBluePrivate
141426,CAST_Forms_PrivateProcedure,Procedure,ProcedurePrivate
141427,CAST_Forms_PrivateFunction_Tab,Function,FunctionBluePrivate
141428,CAST_Forms_PrivateProcedure_Tab,Procedure,ProcedurePrivate
141449,CAST_ABAP_SAPUnresolvedTable,Table,UnresolvedTable
141457,CAST_Forms_Window_Tab,UIView,UIViewRedCorner
141458,CAST_Forms_Editor_Tab,UIView,TemplateText
141494,CAST_MSTSQL_PrimaryKeyConstraint,ConstraintPrimary,ConstraintPrimary
141495,CAST_MSTSQL_ForeignKeyConstraint,ForeignKey,ForeignKey
141497,CAST_ASETSQL_PrimaryKeyConstraint,ConstraintPrimary,ConstraintPrimary
141498,CAST_ASETSQL_ForeignKeyConstraint,ForeignKey,ForeignKey
141499,CAST_MSTSQL_UniqueConstraint,UniqueKey,UniqueKey
141500,CAST_ASETSQL_UniqueConstraint,UniqueKey,UniqueKey
141672,CAST_DotNet_ClassVBException,Package,PackageOrange
141673,CAST_DotNet_ClassVBCustomAttribute,Class,Class
141674,CAST_DotNet_ClassVBDataSet,DataSet,DataSet
141675,CAST_DotNet_ClassVBUserControl,UIView,UIView
141676,CAST_DotNet_ClassVBForm,Form,Form
141677,CAST_DotNet_ClassVBCustomControl,UIView,UIView
141678,CAST_DotNet_ClassVBComponent,Process,ProcessBlue
141679,CAST_DotNet_ClassVBServiceBase,Category,Interface
141680,CAST_DotNet_ClassVBServicedComponent,Process,ProcessBlue
141681,CAST_DotNet_ClassVBInstaller,Category,Interface
141682,CAST_DotNet_ClassVBWebService,Process,ProcessBlue
141683,CAST_DotNet_ClassVBWebServiceProxy,Process,ProcessBlue
141684,CAST_DotNet_ClassVBCrystalReportClass,Class,ReportRed
