typnam,concept
CAST_AspDotNet_DeleteOperation,Exposed Web Services
CAST_AspDotNet_GetOperation,Exposed Web Services
CAST_AspDotNet_PostOperation,Exposed Web Services
CAST_AspDotNet_PutOperation,Exposed Web Services
CAST_AzureDotNet_AnyOperation,Exposed Web Services
CAST_AzureDotNet_Blob_Container,Cloud Resource
CAST_AzureDotNet_DeleteOperation,Exposed Web Services
CAST_AzureDotNet_GetOperation,Exposed Web Services
CAST_AzureDotNet_PostOperation,Exposed Web Services
CAST_AzureDotNet_PutOperation,Exposed Web Services
CAST_AzureDotNet_Unknown_Blob_Container,Cloud Resource
CAST_AzureJava_AnyOperation,Exposed Web Services
CAST_AzureJava_Blob_Container,Cloud Resource
CAST_AzureJava_Blob_Container,Data Source
CAST_AzureJava_DeleteOperation,Exposed Web Services
CAST_AzureJava_GetOperation,Exposed Web Services
CAST_AzureJava_PostOperation,Exposed Web Services
CAST_AzureJava_PutOperation,Exposed Web Services
CAST_AzureJava_Unknown_Blob_Container,Cloud Resource
CAST_BPEL_Receive,Message Queue Subscriber
CAST_Birt_Query,Data Query
CAST_CICS_MapPrototype,UI
CAST_CICS_MapSetPrototype,UI
CAST_COBOL_Entry,UI
CAST_COBOL_MQ_Publisher,Message Queue Publisher
CAST_C_CLR_PropertyGetter,Property Getter
CAST_C_CLR_PropertySetter,Property Setter
CAST_C_SQLQuery,Data Query
CAST_CloudConfig_AWS_API_Gateway_ANY,Web Services
CAST_CloudConfig_AWS_API_Gateway_DELETE,Web Services Call
CAST_CloudConfig_AWS_API_Gateway_GET,Web Services Call
CAST_CloudConfig_AWS_API_Gateway_GET,Exposed Web Services
CAST_CloudConfig_AWS_API_Gateway_POST,Web Services Call
CAST_CloudConfig_AWS_API_Gateway_POST,Exposed Web Services
CAST_CloudConfig_AWS_API_Gateway_PUT,Web Services Call
CAST_CloudConfig_AWS_Lambda_Function,Cloud Function
CAST_CloudConfig_AWS_SQS_Receiver,Message Queue Subscriber
CAST_Cpp_Constructor,Class Constructor
CAST_Cpp_Destructor,Class Destructor
CAST_Cpp_Enum,Enumeration
CAST_Cpp_TemplateConstructor,Class Constructor
CAST_Cpp_TemplateConstructorInstance,Class Constructor
CAST_DotNet_AnyOperation,Web Services
CAST_DotNet_ClassCSharpForm,UI
CAST_DotNet_ClassCSharpUserControl,UI
CAST_DotNet_ClassExternalCustomControl,UI
CAST_DotNet_ClassExternalForm,UI
CAST_DotNet_ClassExternalUserControl,UI
CAST_DotNet_ClassVBCustomControl,UI
CAST_DotNet_ClassVBForm,UI
CAST_DotNet_ClassVBUserControl,UI
CAST_DotNet_ConstructorCSharp,Class Constructor
CAST_DotNet_ConstructorExternal,Class Constructor
CAST_DotNet_ConstructorVB,Class Constructor
CAST_DotNet_Control,UI
CAST_DotNet_CosmosDB_Collection,Collection
CAST_DotNet_CosmosDB_Collection,Data Source
CAST_DotNet_CosmosDB_Database,Schema
CAST_DotNet_Couchbase_Bucket,Data Source
CAST_DotNet_Couchbase_Bucket,Collection
CAST_DotNet_Couchbase_Cluster,Schema
CAST_DotNet_Couchbase_Collection,Data Source
CAST_DotNet_Couchbase_Collection,Collection
CAST_DotNet_Dapper_Entity_Operation,Data Object
CAST_DotNet_DeleteOperation,Web Services Call
CAST_DotNet_DestructorCSharp,Class Destructor
CAST_DotNet_DestructorExternal,Class Destructor
CAST_DotNet_DestructorVB,Class Destructor
CAST_DotNet_DynamoDB_Client,Schema
CAST_DotNet_DynamoDB_Table,Data Source
CAST_DotNet_DynamoDB_Table,Collection
CAST_DotNet_Elasticsearch_Cluster,Schema
CAST_DotNet_Elasticsearch_Index,Collection
CAST_DotNet_Elasticsearch_Index,Data Source
CAST_DotNet_Entity_Operation,Data Object
CAST_DotNet_EnumerationCSharp,Enumeration
CAST_DotNet_EnumerationExternal,Enumeration
CAST_DotNet_EnumerationVB,Enumeration
CAST_DotNet_FieldCSharpCustomControl,UI
CAST_DotNet_FieldCSharpServerControl,UI
CAST_DotNet_FieldExternalCustomControl,UI
CAST_DotNet_FieldExternalServerControl,UI
CAST_DotNet_FieldVBCustomControl,UI
CAST_DotNet_FieldVBServerControl,UI
CAST_DotNet_GCP_Bigtable_Table,Data Source
CAST_DotNet_GCP_CloudStorage_Bucket,Data Source
CAST_DotNet_GetOperation,Exposed Web Services
CAST_DotNet_IndexerGetterCSharp,Property Getter
CAST_DotNet_IndexerGetterExternal,Property Getter
CAST_DotNet_IndexerGetterVB,Property Getter
CAST_DotNet_IndexerSetterCSharp,Property Setter
CAST_DotNet_IndexerSetterExternal,Property Setter
