typnam,concept
CAST_SAPUI5_ABAP_GetOperation,Exposed Web Services
CAST_SAPUI5_ABAP_PostOperation,Exposed Web Services
CAST_SAPUI5_ABAP_PutOperation,Exposed Web Services
CAST_SAPUI5_CDSView_Operation,Exposed Web Services
CAST_SAPUI5_HTMLView,UI
CAST_SAPUI5_JSONView,UI
CAST_SAPUI5_JSView,UI
CAST_SAPUI5_XMLView,UI
CAST_SAP_BAPI_KEY_FIELD,UI
CAST_SAP_MethodSQLScriptProcedure,Procedure
CAST_SAP_R3WDYN_InterfaceView,UI
CAST_SAP_R3WDYN_View,UI
CAST_SAP_R3WDYN_Window,UI
CAST_SHELL_AWS_DynamoDB_Table,Collection
CAST_SHELL_AWS_S3_Bucket,Cloud Resource
CAST_SHELL_AWS_Unknown_DynamoDB_Table,Collection
CAST_SHELL_AWS_Unknown_S3_Bucket,Cloud Resource
CAST_SQL_NamedQuery,Data Query
CAST_SQL_NamedStoredProcedureQuery,Data Query
CAST_SQL_UnresolvedFunction,Data Object
CAST_SQL_UnresolvedProcedure,Procedure
CAST_SQL_UnresolvedSchema,Schema
CAST_SQL_UnresolvedTableSource,Table
CAST_SWT_UI,UI
CAST_Servlet_AnyOperation,Exposed Web Services
CAST_Servlet_DeleteOperation,Exposed Web Services
CAST_Servlet_GetOperation,Exposed Web Services
CAST_Servlet_PostOperation,Exposed Web Services
CAST_Servlet_PutOperation,Exposed Web Services
CAST_SpringData_UnknownTable,Data Source
CAST_SpringMVC_AnyOperation,Web Services
CAST_SpringMVC_DeleteOperation,Exposed Web Services
CAST_SpringMVC_GetOperation,Exposed Web Services
CAST_SpringMVC_PostOperation,Exposed Web Services
CAST_SpringMVC_PutOperation,Exposed Web Services
CAST_SpringMVC_Service,Web Services
CAST_SpringWebFlux_AnyOperation,Exposed Web Services
CAST_SpringWebFlux_DeleteOperation,Exposed Web Services
CAST_SpringWebFlux_GetOperation,Exposed Web Services
CAST_SpringWebFlux_PostOperation,Exposed Web Services
CAST_SpringWebFlux_PutOperation,Exposed Web Services
CAST_Struts_GetOperation,Exposed Web Services
CAST_Struts_Operation,Web Services
CAST_Struts_PostOperation,Exposed Web Services
CAST_Swift_DefaultInit,Class Constructor
CAST_Swift_DeleteHttpService,Web Services Call
CAST_Swift_Enumeration,Enumeration
CAST_Swift_GetHttpService,Web Services Call
CAST_Swift_PostHttpService,Web Services Call
CAST_Swift_PutHttpService,Web Services Call
CAST_Swing_UI,UI
CAST_TS_AWS_SQS_Publisher,Message Queue Publisher
CAST_TS_AWS_SQS_Receiver,Message Queue Subscriber
CAST_TS_AWS_SQS_Unknown_Publisher,Message Queue Publisher
CAST_TS_AWS_SQS_Unknown_Receiver,Message Queue Subscriber
CAST_TS_ClassInitializer,Class Constructor
CAST_TS_DeleteHttpRequestService,Web Services Call
CAST_TS_DeleteNgHttpService,Web Services Call
CAST_TS_GetHttpRequestService,Web Services Call
CAST_TS_GetNgHttpService,Web Services Call
CAST_TS_PostHttpRequestService,Web Services Call
CAST_TS_PostNgHttpService,Web Services Call
CAST_TS_PutHttpRequestService,Web Services Call
CAST_TS_PutNgHttpService,Web Services Call
CAST_TS_Query,Data Query
CAST_Thymeleaf_DeleteResourceService,Web Services Call
CAST_Thymeleaf_GetResourceService,Web Services Call
CAST_Thymeleaf_PostResourceService,Web Services Call
CAST_Thymeleaf_PutResourceService,Web Services Call
CAST_VBSCript_ClientSide_PropertyGet,Property Getter
CAST_VBSCript_ClientSide_PropertySet,Property Setter
CAST_VBSCript_ServerSide_PropertyGet,Property Getter
CAST_VBSCript_ServerSide_PropertySet,Property Setter
CAST_VBScript_ServerSide_Sub,Procedure
CAST_VueJS_Delete_Request_Service,Web Services Call
CAST_VueJS_Get_Request_Service,Web Services Call
CAST_VueJS_Post_Request_Service,Web Services Call
CAST_VueJS_Put_Request_Service,Web Services Call
CAST_Web_FunctionProcedure,Procedure
CAST_Web_FunctionPropertyGet,Property Getter
CAST_Web_FunctionPropertySet,Property Setter
CICS_BMS,UI
CICS_MAP,UI
CICS_MAPSET,UI
CL400SQLStructure,Data Query
C_CONSTRUCTOR,Class Constructor
C_DESTRUCTOR,Class Destructor
C_ENUM,Enumeration
C_TEMPLATE_CTOR,Class Constructor
C_TEMPLATE_CTOR_INSTANCE,Class Constructor
DB400Index,Data Source
DB400Record,Data Source
DB400Table,Table
DB400Table,Data Source
DB400View,Data Source
EGLDataTable,Table
EGLForm,UI
EGLFormGroup,UI
FLEX_getter,Property Getter
FLEX_setter,Property Setter
FORMS_RDF_DB_COLUMN,Table Column
FORMS_RDF_FIELD,UI
FORMS_RDF_NON_ORADB_QUERY,Data Query
FORMS_RDF_QUERY,Data Query
FORMS_RDF_REF_CURSOR_QUERY,Data Query
FORMS_RDF_UNKNOWN_QUERY,Data Query
HIB_HQL_NAMED_QUERY,Data Query
HIB_SQL_NAMED_QUERY,Data Query
JPA_NAMED_NATIVE_QUERY,Data Query
JPA_NAMED_QUERY,Data Query
JSF_INPUT_FIELD,UI
JSF_VIEW_ID_PATTERN,UI
JV_CTOR,Class Constructor
JV_ENUM,Enumeration
JV_GENERIC_CTOR,Class Constructor
JV_INST_CTOR,Class Constructor
MENUBar,UI
MENUItem,UI
PLCDB2Table,Table
PLCMainProcedure,Procedure
PLCProcedure,Procedure
PLIDB2Table,Table
PLIMainProcedure,Procedure
PLIProcedure,Procedure
PSoft_MenuItem,UI
PSoft_Query,Data Query
RPG300SQLStructure,Data Query
RPG400DeleteResourceService,Web Services Call
RPG400GetResourceService,Web Services Call
RPG400PostResourceService,Web Services Call
RPG400Procedure,Procedure
RPG400ProcedurePrototype,Procedure
RPG400PutResourceService,Web Services Call
RPG400SQLStructure,Data Query
SAPCDSView,Data Source
SAPTable,Data Source
SAPTable,Table
SAPView,UI
SAPView,Data Source
SL_XAML_Control,UI
SL_XAML_Custom_Control,UI
SOAP_JV_CLIENT_OPERATION,Exposed Web Services
SOAP_JV_OPERATION,Web Services
SPRING_VIEW,UI
SQLScriptDatabase,Storage
SQLScriptFunction,Data Object
SQLScriptFunctionSynonym,Data Object
SQLScriptMacro,Data Object
SQLScriptProcedure,Procedure
SQLScriptProcedure,Data Object
SQLScriptProcedureSynonym,Data Object
SQLScriptSchema,Schema
SQLScriptTable,Data Source
SQLScriptTable,Table
SQLScriptTableColumn,Table Column
SQLScriptTableSynonym,Data Source
SQLScriptTrigger,Data Object
SQLScriptTrigger,Trigger
SQLScriptUnresolvedFunction,Data Object
SQLScriptUnresolvedSchema,Schema
SQLScriptUnresolvedTable,Table
SQLScriptUnresolvedTable,Data Source
SQLScriptView,Data Source
SQLScriptViewSynonym,Data Source
Tibco_AESCHEMA,Schema
Tibco_ServiceOperation,Exposed Web Services
VB_PROPERTY_GET,Property Getter
VB_PROPERTY_SET,Property Setter
WCF_OperationMethodDelete,Exposed Web Services
WCF_OperationMethodGet,Exposed Web Services
WCF_OperationMethodPost,Exposed Web Services
WCF_OperationMethodPut,Exposed Web Services
WCF_PostResourceService,Web Services Call
XAML_Control,UI
XAML_Custom_Control,UI
abapForm,UI
abapFrame,UI
abapProcessingScreen,UI
abapSelectionScreen,UI
phpConstructor,Class Constructor
phpInterface,UI
