typnam,catnamparent
CAST_AngularJS_PutHttpService,CAST_ResourceService
CAST_AngularJS_PutHttpService,CAST_PutResourceService
CAST_AngularJS_PutResourceService,CAST_ResourceService
CAST_AngularJS_PutResourceService,CAST_PutResourceService
CAST_ApacheCamel_ActiveMQ_QueueCall,CAST_MQE_QueueCall
CAST_ApacheCamel_ActiveMQ_Queue_Receive,CAST_MQE_QueueReceive
CAST_ApacheCamel_HTTP_AnyOperation,CAST_WebService_Operation
CAST_ApacheCamel_HTTP_AnyOperation,CAST_WebService_AnyOperation
CAST_ApacheCamel_HTTP_DeleteOperation,CAST_WebService_Operation
CAST_ApacheCamel_HTTP_DeleteOperation,CAST_WebService_DeleteOperation
CAST_ApacheCamel_HTTP_GetOperation,CAST_WebService_Operation
CAST_ApacheCamel_HTTP_GetOperation,CAST_WebService_GetOperation
CAST_ApacheCamel_HTTP_PostOperation,CAST_WebService_Operation
CAST_ApacheCamel_HTTP_PostOperation,CAST_WebService_PostOperation
CAST_ApacheCamel_HTTP_PutOperation,CAST_WebService_Operation
CAST_ApacheCamel_HTTP_PutOperation,CAST_WebService_PutOperation
CAST_ApacheCamel_IBM_QueueCall,CAST_MQE_QueueCall
CAST_ApacheCamel_IBM_QueueReceive,CAST_MQE_QueueReceive
CAST_ApacheCamel_JMS_QueueCall,CAST_MQE_QueueCall
CAST_ApacheCamel_JMS_QueueReceive,CAST_MQE_QueueReceive
CAST_ApacheCamel_Kafka_TopicCall,CAST_RabbitMQ_Exchange
CAST_ApacheCamel_Kafka_TopicReceive,CAST_RabbitMQ_Queue
CAST_ApacheCamel_RabbitMQ_TopicCall,CAST_RabbitMQ_Exchange
CAST_ApacheCamel_RabbitMQ_TopicReceive,CAST_RabbitMQ_Queue
CAST_AspDotNet_AnyOperation,CAST_WebService_Operation
CAST_AspDotNet_AnyOperation,CAST_WebService_AnyOperation
CAST_AspDotNet_DeleteOperation,CAST_WebService_Operation
CAST_AspDotNet_DeleteOperation,CAST_WebService_DeleteOperation
CAST_AspDotNet_GetOperation,CAST_WebService_Operation
CAST_AspDotNet_GetOperation,CAST_WebService_GetOperation
CAST_AspDotNet_PostOperation,CAST_WebService_Operation
CAST_AspDotNet_PostOperation,CAST_WebService_PostOperation
CAST_AspDotNet_PutOperation,CAST_WebService_Operation
CAST_AspDotNet_PutOperation,CAST_WebService_PutOperation
CAST_AzureDotNet_AnyOperation,CAST_WebService_Operation
CAST_AzureDotNet_AnyOperation,CAST_WebService_AnyOperation
CAST_AzureDotNet_DeleteOperation,CAST_WebService_Operation
CAST_AzureDotNet_DeleteOperation,CAST_WebService_DeleteOperation
CAST_AzureDotNet_GetOperation,CAST_WebService_Operation
CAST_AzureDotNet_GetOperation,CAST_WebService_GetOperation
CAST_AzureDotNet_PostOperation,CAST_WebService_Operation
CAST_AzureDotNet_PostOperation,CAST_WebService_PostOperation
CAST_AzureDotNet_PutOperation,CAST_WebService_Operation
CAST_AzureDotNet_PutOperation,CAST_WebService_PutOperation
CAST_AzureDotNet_ServiceBus_Publisher,CAST_Azure_ServiceBus_Publisher
CAST_AzureDotNet_ServiceBus_Receiver,CAST_Azure_ServiceBus_Receiver
CAST_AzureJava_AnyOperation,CAST_WebService_Operation
CAST_AzureJava_AnyOperation,CAST_WebService_AnyOperation
CAST_AzureJava_DeleteOperation,CAST_WebService_Operation
CAST_AzureJava_DeleteOperation,CAST_WebService_DeleteOperation
CAST_AzureJava_GetOperation,CAST_WebService_Operation
CAST_AzureJava_GetOperation,CAST_WebService_GetOperation
CAST_AzureJava_PostOperation,CAST_WebService_Operation
CAST_AzureJava_PostOperation,CAST_WebService_PostOperation
CAST_AzureJava_PutOperation,CAST_WebService_Operation
CAST_AzureJava_PutOperation,CAST_WebService_PutOperation
CAST_AzureJava_ServiceBus_Publisher,CAST_Azure_ServiceBus_Publisher
CAST_AzureJava_ServiceBus_Receiver,CAST_Azure_ServiceBus_Receiver
CAST_BPEL_Invoke,CAST_SOAP_OperationCall
CAST_BPEL_Invoke,CAST_SOAP_OperationCall
CAST_COBOL_MQ_Publisher,CAST_IBM_MQ_Publisher
CAST_COBOL_MQ_Subscriber,CAST_IBM_MQ_Subscriber
CAST_CloudConfig_AWS_API_Gateway_ANY,CAST_WebService_Operation
CAST_CloudConfig_AWS_API_Gateway_ANY,CAST_WebService_AnyOperation
CAST_CloudConfig_AWS_API_Gateway_DELETE,CAST_WebService_Operation
CAST_CloudConfig_AWS_API_Gateway_DELETE,CAST_WebService_DeleteOperation
CAST_CloudConfig_AWS_API_Gateway_GET,CAST_WebService_Operation
CAST_CloudConfig_AWS_API_Gateway_GET,CAST_WebService_GetOperation
CAST_CloudConfig_AWS_API_Gateway_POST,CAST_WebService_Operation
CAST_CloudConfig_AWS_API_Gateway_POST,CAST_WebService_PostOperation
CAST_CloudConfig_AWS_API_Gateway_PUT,CAST_WebService_Operation
CAST_CloudConfig_AWS_API_Gateway_PUT,CAST_WebService_PutOperation
CAST_CloudConfig_AWS_Lambda_Function,CAST_AWS_Lambda
CAST_CloudConfig_AWS_SNS_Subscriber,CAST_AWS_SNS_Subscriber
CAST_CloudConfig_AWS_SQS_Publisher,CAST_AWS_SQS_Sender
CAST_CloudConfig_AWS_SQS_Receiver,CAST_AWS_SQS_Receiver
CAST_CloudConfig_PostHttpRequestService,CAST_ResourceService
CAST_CloudConfig_PostHttpRequestService,CAST_PostResourceService
CAST_DotNet_AnyOperation,CAST_WebService_Operation
CAST_DotNet_AnyOperation,CAST_WebService_AnyOperation
CAST_DotNet_DeleteOperation,CAST_WebService_Operation
CAST_DotNet_DeleteOperation,CAST_WebService_DeleteOperation
CAST_DotNet_GetOperation,CAST_WebService_Operation
CAST_DotNet_GetOperation,CAST_WebService_GetOperation
CAST_DotNet_PatchOperation,CAST_WebService_Operation
CAST_DotNet_PatchOperation,CAST_WebService_PatchOperation
CAST_DotNet_PostOperation,CAST_WebService_Operation
CAST_DotNet_PostOperation,CAST_WebService_PostOperation
CAST_DotNet_PutOperation,CAST_WebService_Operation
CAST_DotNet_PutOperation,CAST_WebService_PutOperation
CAST_DotNet_SOAP_Proxy,CAST_WebServiceLinker_Resource
CAST_DotNet_SOAP_Proxy,CAST_WebServiceLinker_PostResource
CAST_DotNet_SOAP_Server,CAST_WebServiceLinker_Operation
CAST_DotNet_SOAP_Server,CAST_WebServiceLinker_PostOperation
CAST_Dotnet_Service_CallToDelete,CAST_ResourceService
CAST_Dotnet_Service_CallToDelete,CAST_DeleteResourceService
CAST_Dotnet_Service_CallToGet,CAST_ResourceService
CAST_Dotnet_Service_CallToGet,CAST_GetResourceService
CAST_Dotnet_Service_CallToPatch,CAST_ResourceService
