internalName,color
C_FILE,"rgb(243, 75, 7)"
C_CLASS,"rgb(243, 75, 7)"
C_METHOD,"rgb(243, 75, 7)"
C_GLOBAL,"rgb(243, 75, 7)"
C_FUNCTION,"rgb(243, 75, 7)"
C_MACRO,"rgb(243, 75, 7)"
CAST_Web_Instance,"rgb(227, 76, 2)"
C_ROOTDIRECTORY,"rgb(243, 75, 7)"
C_DIRECTORY,"rgb(243, 75, 7)"
JV_EJB_MESSAGE,"rgb(124, 42, 0)"
PLSQLANALYSE,"rgb(241, 8, 8)"
CAST_COBOL_Copybook,"rgb(97, 36, 219)"
CAST_COBOL_SavedProgram,"rgb(97, 36, 219)"
CAST_COBOL_Interface,"rgb(97, 36, 219)"
CAST_COBOL_Class,"rgb(97, 36, 219)"
CAST_COBOL_SavedSection,"rgb(97, 36, 219)"
CAST_COBOL_Directory,"rgb(97, 36, 219)"
COBOL_ROOTDIRECTORY,"rgb(97, 36, 219)"
CAST_COBOL_Entry,"rgb(97, 36, 219)"
CAST_Web_URLDirectory,"rgb(227, 76, 2)"
PB_GLOBALVARIABLE,"rgb(143, 15, 8)"
PB_MEMBERVARIABLE,"rgb(143, 15, 8)"
C_GLOBALVARIABLE,"rgb(243, 75, 7)"
C_MEMBER,"rgb(243, 75, 7)"
C_CLASSFOLDER,"rgb(243, 75, 7)"
CAST_JCL_CatalogedJob,"rgb(62, 74, 148)"
CAST_JCL_CatalogedProcedure,"rgb(62, 74, 148)"
CAST_JCL_AnalyzedIncludedFile,"rgb(62, 74, 148)"
CAST_JCL_InstreamProcedure,"rgb(62, 74, 148)"
CAST_JCL_Step,"rgb(62, 74, 148)"
CAST_JCL_Directory,"rgb(62, 74, 148)"
CAST_JCL_RootDirectory,"rgb(62, 74, 148)"
C_DESTRUCTOR,"rgb(243, 75, 7)"
C_CONSTRUCTOR,"rgb(243, 75, 7)"
C_STRUCT,"rgb(243, 75, 7)"
PB_ANALYSE,"rgb(143, 15, 8)"
C_UNION,"rgb(243, 75, 7)"
C_ENUM,"rgb(243, 75, 7)"
C_ENUMITEM,"rgb(243, 75, 7)"
C_TYPEDEF,"rgb(243, 75, 7)"
BO_UNIVERSE,"rgb(23, 111, 178)"
BO_CLASS,"rgb(23, 111, 178)"
BO_DOCUMENT,"rgb(23, 111, 178)"
BO_DATA_PROVIDER,"rgb(23, 111, 178)"
CAST_COBOL_SavedParagraph,"rgb(97, 36, 219)"
BO_OBJECT_IND,"rgb(23, 111, 178)"
BO_OBJECT_DIM,"rgb(23, 111, 178)"
BO_OBJECT_DET,"rgb(23, 111, 178)"
JCL_PROGRAM,"rgb(62, 74, 148)"
CAST_JCL_Dataset,"rgb(62, 74, 148)"
CAST_JCL_Index,"rgb(62, 74, 148)"
CAST_COBOL_SortDescription,"rgb(97, 36, 219)"
CAST_COBOL_SavedFileDescription,"rgb(97, 36, 219)"
JV_FILE,"rgb(176, 114, 1)"
JV_IMPORT,"rgb(176, 114, 1)"
JSP_TILES_DEF_FILE,"rgb(42, 98, 119)"
BO_CONDITION,"rgb(23, 111, 178)"
BO_LISTOFVALUE,"rgb(23, 111, 178)"
FORMS_RDF_NON_ORADB_QUERY,"rgb(223, 18, 18)"
FORMS_RDF_UNKNOWN_QUERY,"rgb(223, 18, 18)"
FORMS_RDF_ELEMENT,"rgb(223, 18, 18)"
FORMS_RDF_GROUP,"rgb(223, 18, 18)"
FORMS_RDF_DB_COLUMN,"rgb(223, 18, 18)"
FORMS_RDF_DATA_LINK,"rgb(223, 18, 18)"
FORMS_RDF_SUMMARY_COLUMN,"rgb(223, 18, 18)"
FORMS_RDF_FORMULA_COLUMN,"rgb(223, 18, 18)"
FORMS_RDF_PLACEHOLDER_COLUMN,"rgb(223, 18, 18)"
FORMS_RDF_USER_UNKNOWN_COLUMN,"rgb(223, 18, 18)"
FORMS_RDF_LAYOUT_MODEL,"rgb(223, 18, 18)"
FORMS_RDF_PARAMETER_FORM,"rgb(223, 18, 18)"
FORMS_RDF_HEADER,"rgb(223, 18, 18)"
FORMS_RDF_TRAILER,"rgb(223, 18, 18)"
FORMS_RDF_BODY,"rgb(223, 18, 18)"
FORMS_RDF_MARGIN,"rgb(223, 18, 18)"
FORMS_RDF_REPEATING_FRAME,"rgb(223, 18, 18)"
FORMS_RDF_FRAME,"rgb(223, 18, 18)"
FORMS_RDF_FIELD,"rgb(223, 18, 18)"
FORMS_RDF_BP_TEXT,"rgb(223, 18, 18)"
FORMS_RDF_BP_POLYGONE,"rgb(223, 18, 18)"
FORMS_RDF_BP_POLYLINE,"rgb(223, 18, 18)"
FORMS_RDF_BP_FREEHAND,"rgb(223, 18, 18)"
FORMS_RDF_BP_LINE,"rgb(223, 18, 18)"
FORMS_RDF_BP_RECTANGLE,"rgb(223, 18, 18)"
FORMS_RDF_BP_ROUNDED_RECTANGLE,"rgb(223, 18, 18)"
FORMS_RDF_BP_ELLIPSE,"rgb(223, 18, 18)"
