id,typnam,familyicon,genericicon,typdsc
1520217,SIEBEL_APPL_SCRIPT,,,Siebel Application Script
1520220,SIEBEL_FIND,,,Siebel Find
1520221,SIEBEL_FIND_FIELD,,,Siebel Find Field
1520222,SIEBEL_FIND_VIEW,,,Siebel Find View
1520223,SIEBEL_FIND_PICKVIEW,,,Siebel Find Pickview
1520230,SIEBEL_BUSINESS_SERVICE,,,Siebel Business Service
1520231,SIEBEL_BUSSERV_METHOD,,,Siebel Business Service Method
1520232,SIEBEL_BUSSERV_METHOD_ARG,,,Siebel Business Service Method Argument
1520233,SIEBEL_BUSINESS_SERVICE_SCRIPT,,,Siebel Business Service Script
1520240,SIEBEL_WEB_PAGE,,,Siebel Web Page
1520241,SIEBEL_WEB_PAGE_ITEM,,,Siebel Web Page Item
1520242,SIEBEL_WEB_PAGE_ITEM_PARAMETER,,,Siebel Web Page Item Parameter
1520250,SIEBEL_CLASS_NULL,,,Siebel Class - NULL
1520251,SIEBEL_CLASS_ACTIVXCTRL,,,Siebel Class - ActiveX Control
1520252,SIEBEL_CLASS_APPLET,,,Siebel Class - Applet
1520253,SIEBEL_CLASS_BUSCOMP,,,Siebel Class - Business Component
1520254,SIEBEL_CLASS_DOCUMENT,,,Siebel Class - Document
1520255,SIEBEL_CLASS_JAVA_APPLET,Class,Class,Siebel Class - Java Applet
1520256,SIEBEL_CLASS_REPORT,,,Siebel Class - Report
1520257,SIEBEL_CLASS_SEARCH,,,Siebel Class - Search
1520258,SIEBEL_CLASS_SERVICE,,,Siebel Class - Service
1520259,SIEBEL_METHOD,,,Siebel Method
1520260,SIEBEL_METHOD_MENU_ITEM,,,Siebel Method Menu Item
1520261,SIEBEL_CLASS_SCRIPT,,,Siebel Class Script
1520270,SIEBEL_APPLET_SCRIPT,,,Siebel Applet - Script
1520272,SIEBEL_APPLET_BRS_SCRIPT,,,Siebel Applet - BRS Script
1520274,SIEBEL_APPLET_WEBSCRIPT,,,Siebel Applet - WebScript
1520280,SIEBEL_BUSCOMP_SCRIPT,,,Siebel Buscomp Script
1520282,SIEBEL_BUSCOMP_BRS_SCRIPT,,,Siebel Buscomp BRS Script
1520290,SIEBEL_TOOLBAR,,,Siebel Toolbar
1520300,SIEBEL_LINK,,,Siebel Link
1520301,SIEBEL_DEST_FIELD,,,Siebel Destination Field
1520302,SIEBEL_SRC_FIELD,,,Siebel Source Field
1520303,SIEBEL_PR_ID_FIELD,,,Siebel Parent ID Field
1520400,SIEBEL_WORKFLOW,,,Siebel Workflow
1520401,SIEBEL_PROCESS,,,Siebel Process
1520402,SIEBEL_PROCESS_PROP,,,Siebel Process Property
1520410,SIEBEL_PROCESS_STEP_ABORT,,,Siebel Step Abort
1520411,SIEBEL_PROCESS_STEP_DECISION_POINT,,,Siebel Step Decision Point
1520412,SIEBEL_PROCESS_STEP_END,,,Siebel Step End
1520413,SIEBEL_PROCESS_STEP_SIEBEL_OPER,,,Siebel Step Siebel Operation
1520414,SIEBEL_PROCESS_STEP_START,,,Siebel Step Start
1520415,SIEBEL_PROCESS_STEP_SUB_PROCESS,,,Siebel Step Sub Process
1520416,SIEBEL_PROCESS_STEP_TASK,,,Siebel Step Task
1520417,SIEBEL_PROCESS_STEP_USER_INTERACT,,,Siebel Step User Interaction
1520418,SIEBEL_PROCESS_STEP_WAIT,,,Siebel Step Wait
1520420,SIEBEL_PROCESS_BRANCH_CONNECTOR,,,Siebel Branch Connector
1520421,SIEBEL_PROCESS_BRANCH_DECISION,,,Siebel Branch Decision
1520422,SIEBEL_PROCESS_BRANCH_DEFAULT,,,Siebel Branch Default
1520423,SIEBEL_PROCESS_BRANCH_ERROR_EXC,,,Siebel Branch Error Execution
1520424,SIEBEL_PROCESS_BRANCH_USER_DEFINED_EXC,,,Siebel Branch User Defined Execution
1546000,CAST_JMS_Java_QueueCall,QueueCall,QueueCall,JMS Java Queue Publisher
1546001,CAST_JMS_Java_QueueReceive,QueueReceive,QueueReceive,JMS Java Queue Receiver
1546002,CAST_JMS_Java_TopicCall,QueueCall,QueueCall,JMS Java Topic Publisher
1546003,CAST_JMS_Java_TopicReceive,QueueReceive,QueueReceive,JMS Java Topic Receiver
1546004,CAST_JMS_Java_Unknown_QueueCall,QueueCall,QueueCallGrey,JMS Java Unknown Queue Publisher
1546005,CAST_JMS_Java_Unknown_QueueReceive,QueueReceive,QueueReceiveGrey,JMS Java Unknown Queue Receiver
1546006,CAST_JMS_Java_Unknown_TopicCall,QueueCall,QueueCallGrey,JMS Java Unknown Topic Publisher
1546007,CAST_JMS_Java_Unknown_TopicReceive,QueueReceive,QueueReceiveGrey,JMS Java Unknown Topic Receiver
1546008,CAST_AWSJava_SQS_Receiver,QueueReceive,QueueReceive,Java AWS Simple Queue Service Receiver
1546009,CAST_AWSJava_SQS_Publisher,QueueCall,QueueCall,Java AWS Simple Queue Service Publisher
1546010,CAST_AWSJava_SQS_Unknown_Receiver,QueueReceive,QueueReceiveGrey,Java AWS Simple Queue Service Unknown Receiver
1546011,CAST_AWSJava_SQS_Unknown_Publisher,QueueCall,QueueCallGrey,Java AWS Simple Queue Service Unknown Publisher
1546012,CAST_IBMMQ_Java_Unknown_QueueCall,QueueCall,QueueCallGrey,IBM MQ Java Unknown Queue Publisher
1546013,CAST_IBMMQ_Java_Unknown_QueueReceive,QueueReceive,QueueReceiveGrey,IBM MQ Java Unknown Queue Receiver
1546014,CAST_IBMMQ_Java_TopicCall,QueueCall,QueueCall,IBM MQ Java Topic Publisher
1546015,CAST_IBMMQ_Java_TopicReceive,QueueReceive,QueueReceive,IBM MQ Java Topic Receiver
1546016,CAST_IBMMQ_Java_Unknown_TopicCall,QueueCall,QueueCallGrey,IBM MQ Java Unknown Topic Publisher
1546017,CAST_IBMMQ_Java_Unknown_TopicReceive,QueueReceive,QueueReceiveGrey,IBM MQ Java Unknown Topic Receiver
1546018,CAST_RabbitMQ_Java_Unknown_Exchange,QueueCall,QueueCall,RabbitMQ Unknown Java Exchange
1546019,CAST_RabbitMQ_Java_Unknown_Queue,QueueReceive,QueueReceiveGrey,RabbitMQ Unknown Java Queue
1546026,CAST_RabbitMQ_Java_Publisher,QueueCall,QueueCall,RabbitMQ Java Queue Publisher
1546027,CAST_RabbitMQ_Java_Consumer,QueueReceive,QueueReceive,RabbitMQ Java Queue Receiver
1546028,CAST_RabbitMQ_Java_Unknown_Publisher,QueueCall,QueueCallGrey,RabbitMQ Unknown Java Queue Publisher
1546029,CAST_RabbitMQ_Java_Unknown_Consumer,QueueReceive,QueueReceiveGrey,RabbitMQ Unknown Java Queue Receiver
1546030,CAST_RabbitMQ_Java_ExchangeDeclaration,Process,ProcessBlue,RabbitMQ Java Exchange Declaration
1546031,CAST_RabbitMQ_Java_QueueBind,Process,ProcessBlue,RabbitMQ Java Queue Bind
1546032,CAST_RabbitMQ_Java_ExchangeBind,Process,ProcessBlue,RabbitMQ Java Exchange Bind
1600006,PSoft_Environment,,,PeopleSoft Environment
1600007,PSoft_Module,,,PeopleSoft Module
1600008,PSoftDisplayType,,,PeopleSoft Display Type
1600100,PSoft_RecordTable,Table,Table,PeopleSoft RecordTable
1600101,PSoft_RecordView,,,PeopleSoft RecordView
1600102,PSoft_RecordDerived,,,PeopleSoft RecordDerived
1600103,PSoft_RecordSub,,,PeopleSoft RecordSub
1600104,PSoft_RecordDynamic,,,PeopleSoft RecordDynamic
1600105,PSoft_RecordQuery,SQLNamedQuery,DataQuery,PeopleSoft RecordQuery
1600106,PSoft_RecordTemp,,,PeopleSoft RecordTemp
1600107,PSoft_RecordFields,,,PeopleSoft RecordField
1600108,PSoft_RecordIndex,Index,Index,PeopleSoft RecordIndex
1600109,PSoft_RecordFieldDBs,,,PeopleSoft RecordFieldDB
1600120,PSoft_DBField,,,PeopleSoft DBField
1600121,PSoft_Field_LabelItem,,,PeopleSoft Field Label Item
1600130,PSoft_Field_Format,,,PeopleSoft Field Format
1600140,PSoft_Field_XLATITEM,,,PeopleSoft Field XLAT Item
1600150,PSoft_Page0,,,PeopleSoft Page
1600151,PSoft_Page1,,,PeopleSoft SubPage
1600152,PSoft_Page2,,,PeopleSoft SecondaryPage
1600153,PSoft_PageField0,,,PeopleSoft Page Field0
1600154,PSoft_PageFieldLevel1,,,PeopleSoft Page Field Level1
1600155,PSoft_PageField1,,,PeopleSoft Page Field1
1600156,PSoft_PageFieldLevel2,,,PeopleSoft Page Field Level2
1600157,PSoft_PageField2,,,PeopleSoft Page Field2
1600158,PSoft_PageFieldLevel3,,,PeopleSoft Page Field Level3
1600159,PSoft_PageField3,,,PeopleSoft Page Field3
1600160,PSoft_Menu,,,PeopleSoft Menu
1600161,PSoft_MenuPopup,,,PeopleSoft Menu Popup
1600162,PSoft_MenuBar,,,PeopleSoft Menu Bar
1600163,PSoft_MenuItem,UIView,MenuItem,PeopleSoft Menu Item
1600170,PSoft_Component,,,PeopleSoft Component
1600171,PSoft_ComponentRecord,,,PeopleSoft Component Record
1600172,PSoft_ComponentRecordField,,,PeopleSoft Component Record Field
1600174,PSoft_ComponentItem,,,PeopleSoft Component Item
1600180,PSoft_RecordFieldEvent,,,PeopleSoft Record Field Event
1600190,PSoft_MenuEvent,,,PeopleSoft Menu Event
1600200,PSoft_Query,SQLNamedQuery,DataQuery,PeopleSoft Query
1600270,PSoft_BusinessProcess,,,PeopleSoft BusinessProcess
1600271,PSoft_BusProcItem,,,PeopleSoft BusinessProcessItem
1600280,PSoft_Activity,,ProcessBlue,PeopleSoft Activity
1600281,PSoft_ActivityStep,,ProcessBlue,PeopleSoft ActivityStep
1600282,PSoft_ActivityEvent,,ProcessBlue,PeopleSoft ActivityEvent
